NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
1.5,25,1,24,,,2190,1071.0
1.5,25,2,24,,,2185,1070.0
1.5,25,3,24,,,2261,1062.0
1.5,25,4,24,,,2288,1057.0
1.5,25,5,24,,,2261,1072.0
1.5,30,1,36,,,2891,1185.0
1.5,30,2,37,,,3114,1190.0
1.5,30,3,37,,,3250,1193.0
1.5,30,4,37,,,3205,1185.0
1.5,30,5,37,,,3221,1182.0
1.5,40,1,42,,,3709,1208.0
1.5,40,2,43,,,3709,1214.0
1.5,40,3,43,,,3649,1223.0
1.5,40,4,43,,,3655,1222.0
1.5,40,5,43,,,3824,1224.0
1.5,50,1,55,,,4150,1236.0
1.5,50,2,55,,,4575,1294.0
1.5,50,3,55,,,4514,1278.0
1.5,50,4,55,,,4510,1282.0
1.5,50,5,55,,,4717,1270.0
1.5,60,1,60,,,5186,1298.0
1.5,60,2,60,,,5249,1303.0
1.5,60,3,60,,,5355,1289.0
1.5,60,4,60,,,5421,1277.0
1.5,60,5,60,,,5430,1288.0
1.5,70,1,73,,,6308,1381.0
1.5,70,2,74,,,7046,1336.0
1.5,70,3,75,,,7039,1383.0
1.5,70,4,75,,,6921,1375.0
1.5,70,5,75,,,6225,1389.0
1.5,80,1,87,,,7414,1417.0
1.5,80,2,87,,,7876,1378.0
1.5,80,3,87,,,7999,1374.0
1.5,80,4,87,,,7645,1373.0
1.5,80,5,87,,,8227,1363.0
1.6,25,1,23,,,2216,1095.0
1.6,25,2,23,,,2187,1087.0
1.6,25,3,23,,,2173,1100.0
1.6,25,4,23,,,2207,1080.0
1.6,25,5,23,,,2192,1099.0
1.6,30,1,30,,,2838,1168.0
1.6,30,2,30,,,3004,1186.0
1.6,30,3,31,,,3007,1158.0
1.6,30,4,31,,,3009,1183.0
1.6,30,5,31,,,2931,1175.0
1.6,40,1,40,,,3978,1232.0
1.6,40,2,40,,,3853,1239.0
1.6,40,3,41,,,3850,1257.0
1.6,40,4,41,,,3554,1237.0
1.6,40,5,41,,,3810,1235.0
1.6,50,1,51,,,4728,1266.0
1.6,50,2,51,,,4786,1277.0
1.6,50,3,52,,,4883,1257.0
1.6,50,4,52,,,4932,1282.0
1.6,50,5,52,,,5037,1279.0
1.6,60,1,60,,,5664,1337.0
1.6,60,2,61,,,5805,1319.0
1.6,60,3,61,,,5891,1311.0
1.6,60,4,62,,,5968,1317.0
1.6,60,5,62,,,5947,1319.0
1.6,70,1,74,,,7380,1364.0
1.6,70,2,75,,,7355,1383.0
1.6,70,3,75,,,7355,1361.0
1.6,70,4,76,,,7483,1367.0
1.6,70,5,76,,,7406,1368.0
1.6,80,1,90,,,8041,1456.0
1.6,80,2,90,,,8931,1404.0
1.6,80,3,90,,,8776,1383.0
1.6,80,4,90,,,8708,1387.0
1.6,80,5,89,,,8831,1378.0
1.7,25,1,24,,,2417,1081.0
1.7,25,2,24,,,2401,1084.0
1.7,25,3,24,,,2403,1092.0
1.7,25,4,24,,,2389,1090.0
1.7,25,5,24,,,2401,1093.0
1.7,30,1,30,,,2956,1134.0
1.7,30,2,31,,,3007,1131.0
1.7,30,3,31,,,3050,1130.0
1.7,30,4,31,,,3045,1124.0
1.7,30,5,31,,,3050,1121.0
