EC_M01,EC_M02,EC_M03,EC_25C_M01,EC_25C_M02,EC_25C_M03,Temp_M01_C,Temp_M02_C,Temp_M03_C,Mercury_Temp,EC_TrueTemp_M01,EC_TrueTemp_M02,EC_TrueTemp_M03,Temp_Error_M01,Temp_Error_M02,Temp_Error_M03
,1015.0,,,735.5072463768116,,,42.13,,44.0,,32362.318840579712,,,-1.8699999999999974,
,1417.0,,,632.5892857142857,,,74.14,,87.0,,55035.267857142855,,,-12.86,
,986.0,,,850.0000000000001,,,32.26,,33.0,,28050.000000000004,,,-0.740000000000002,
142.0,450.0,447.0,67.61904761904762,214.28571428571428,212.85714285714286,79.38,79.27,73.05,80.0,5409.523809523809,17142.85714285714,17028.571428571428,-0.6200000000000045,-0.730000000000004,-6.950000000000003
417.0,1192.0,1177.0,379.09090909090907,1083.6363636363635,1070.0,29.49,30.89,28.78,30.0,11372.727272727272,32509.090909090904,32100.0,-0.5100000000000016,0.8900000000000006,-1.2199999999999989
343.0,1044.0,1123.0,180.5263157894737,549.4736842105264,591.0526315789474,69.21,69.65,70.24,70.0,12636.842105263158,38463.15789473685,41373.68421052632,-0.7900000000000063,-0.3499999999999943,0.23999999999999488
,1185.0,,,779.6052631578947,,,50.26,,51.0,,39759.868421052626,,,-0.740000000000002,
254.0,704.0,744.0,230.90909090909088,640.0,676.3636363636363,28.86,29.51,28.83,30.0,6927.272727272726,19200.0,20290.90909090909,-1.1400000000000006,-0.48999999999999844,-1.1700000000000017
436.0,1285.0,1226.0,256.4705882352941,755.8823529411764,721.1764705882352,58.75,58.86,62.77,60.0,15388.235294117645,45352.94117647058,43270.58823529411,-1.25,-1.1400000000000006,2.770000000000003
,803.0,,,836.4583333333334,,,21.02,,23.0,,19238.541666666668,,,-1.9800000000000004,
,1075.0,,,698.051948051948,,,51.5,,52.0,,36298.70129870129,,,-0.5,
,1093.0,,,1115.3061224489795,,,24.01,,24.0,,26767.34693877551,,,0.010000000000001563,
320.0,351.0,,290.9090909090909,319.09090909090907,,28.92,27.02,,30.0,8727.272727272726,9572.727272727272,,-1.0799999999999983,-2.9800000000000004,
,1354.0,,,638.6792452830189,,,73.97,,81.0,,51733.018867924526,,,-7.030000000000001,
446.0,1263.0,1219.0,343.07692307692304,971.5384615384615,937.6923076923076,39.54,40.66,39.96,40.0,13723.076923076922,38861.53846153846,37507.692307692305,-0.46000000000000085,0.6599999999999966,-0.03999999999999915
353.0,989.0,1035.0,320.9090909090909,899.090909090909,940.9090909090909,29.46,29.92,33.11,30.0,9627.272727272726,26972.727272727272,28227.272727272728,-0.5399999999999991,-0.0799999999999983,3.1099999999999994
,1137.0,,,836.029411764706,,,39.87,,43.0,,35949.26470588236,,,-3.1300000000000026,
406.0,1385.0,1509.0,193.33333333333331,659.5238095238095,718.5714285714286,80.39,81.05,72.56,80.0,15466.666666666664,52761.90476190476,57485.71428571428,0.39000000000000057,1.0499999999999972,-7.439999999999998
,1177.0,,,1070.0,,,28.78,,30.0,,32100.0,,,-1.2199999999999989,
,1009.0,,,1029.591836734694,,,23.4,,24.0,,24710.204081632655,,,-0.6000000000000014,
437.0,1403.0,1363.0,208.09523809523807,668.0952380952381,649.047619047619,79.01,80.84,82.27,80.0,16647.619047619046,53447.619047619046,51923.80952380953,-0.9899999999999949,0.8400000000000034,2.269999999999996
419.0,1241.0,1238.0,279.3333333333333,827.3333333333334,825.3333333333334,49.52,50.22,41.19,50.0,13966.666666666666,41366.66666666667,41266.66666666667,-0.4799999999999969,0.21999999999999886,-8.810000000000002
